Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
alpha-1-B glycoprotein	Approved		19q13.43		NM_130786	138670	ENSG00000121410	1
A1BG antisense RNA 1	Approved	NCRNA00181, A1BGAS, A1BG-AS	19q13.43	BC040926	NR_015380		ENSG00000268895	503538
APOBEC1 complementation factor	Approved		10q11.23	AF271790	NM_014576	618199	ENSG00000148584	29974
symbol withdrawn, see UBA1	Symbol Withdrawn							
alpha-2-macroglobulin	Approved		12p13.31	BX647329, X68728, M11313	NM_000014	103950	ENSG00000175899	2
A2M antisense RNA 1	Approved		12p13.31		NR_026971		ENSG00000245105	144571
alpha-2-macroglobulin like 1	Approved	CPAMD9	12p13.31	AK057908	NM_144670	610627	ENSG00000166535	144568
A2ML1 antisense RNA 1	Approved		12p13.31				ENSG00000256661	100874108
A2ML1 antisense RNA 2	Approved		12p13.31				ENSG00000256904	106478979
alpha-2-macroglobulin pseudogene 1	Approved	A2MP	12p13.31	M24415	NG_001067		ENSG00000256069	3
symbol withdrawn, see LRPAP1	Symbol Withdrawn							
alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	1p35.1		NM_001080438		ENSG00000184389	127550
alpha 1,4-galactosyltransferase (P blood group)	Approved	P1	22q13.2		NM_017436	607922	ENSG00000128274	53947
alpha-1,4-N-acetylglucosaminyltransferase	Approved		3q22.3	AF141315	NM_016161	616709	ENSG00000118017	51146
aladin WD repeat nucleoporin	Approved		12q13.13	AJ289841		605378	ENSG00000094914	8086
symbol withdrawn, see NAT1	Symbol Withdrawn							
symbol withdrawn, see NAT2	Symbol Withdrawn							
acetoacetyl-CoA synthetase	Approved		12q24.31	AK022451	NM_023928	614364	ENSG00000081760	65985
acetoacetyl-CoA synthetase pseudogene 1	Approved	AACSL	5q35.3		NR_024035		ENSG00000250420	729522
symbol withdrawn, see SERPINA3	Symbol Withdrawn							
arylacetamide deacetylase	Approved		3q25.1	L32179	NM_001086	600338	ENSG00000114771	13
arylacetamide deacetylase like 2	Approved		3q25.1	BC065724	NM_207365		ENSG00000197953	344752
AADACL2 antisense RNA 1	Approved		3q25.1				ENSG00000242908	101928142
arylacetamide deacetylase like 3	Approved		1p36.21		NM_001103170		ENSG00000188984	126767
arylacetamide deacetylase like 4	Approved		1p36.21		NM_001013630		ENSG00000204518	343066
arylacetamide deacetylase pseudogene 1	Approved		3q25.1				ENSG00000240602	201651
aminoadipate aminotransferase	Approved		4q33	AF097994	NM_016228	611754	ENSG00000109576	51166
alpha and gamma adaptin binding protein	Approved		15q23	AL136715	NM_024666	614888	ENSG00000103591	79719
AP2 associated kinase 1	Approved		2p13.3	AB028971	NM_014911	616405	ENSG00000115977	22848
adipogenesis associated Mth938 domain containing	Approved	C11orf67	11q14.1	BC016854	NM_024684		ENSG00000087884	28971
angio associated migratory cell protein	Approved		2q35	AB209790	NM_001087	603488	ENSG00000127837	14
aralkylamine N-acetyltransferase	Approved		17q25.1	U40347	NM_001088	600950	ENSG00000129673	15
AAR2 splicing factor homolog	Approved	C20orf4	20q11.23		NM_015511	617365	ENSG00000131043	25980
alanine and arginine rich domain containing protein	Approved	C8orf85	8q24.11	AB181519, BC140924	NM_001025357		ENSG00000205002	441376
alanyl-tRNA synthetase	Approved		16q22.1	D32050	NM_001605	601065	ENSG00000090861	16
alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	6p21.1	AB033096	NM_020745	612035	ENSG00000124608	57505
alanyl-tRNA synthetase domain containing 1	Approved		17q21.31	BC004172	NM_001261434	613212	ENSG00000266967	80755
alanyl-tRNA synthetase pseudogene 1	Approved		4q28.3				ENSG00000249038	106480683
aminoadipate-semialdehyde dehydrogenase	Approved		4q12	AF516672	NM_181806	614365	ENSG00000157426	132949
aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		11q22.3	AF302110	NM_015423	607756	ENSG00000149313	60496
aminoadipate-semialdehyde synthase	Approved		7q31.32	AF229180	NM_005763	605113	ENSG00000008311	10157
apoptosis associated transcript in bladder cancer	Approved		21q22.3		NR_026961		ENSG00000215458	284837
apoptosis antagonizing transcription factor	Approved		17q12	AF083208	NM_012138	608463	ENSG00000275700	26574
apoptosis associated tyrosine kinase	Approved		17q25.3	AB014541	NM_004920	605276	ENSG00000181409	9625
adeno-associated virus integration site 1	Approved		19q13	S51329		102699		17
apoptotic BCL2L1-antisense long non-coding RNA	Approved		20q11.21	KC505631	NR_131907		ENSG00000281376	103021294
4-aminobutyrate aminotransferase	Approved		16p13.2	L32961	NM_020686	137150	ENSG00000183044	18
symbol withdrawn, see ABCA1	Symbol Withdrawn							
